№ п.п.,01.09.23,01.09.23,08.09.23,08.09.23,15.09.23,15.09.23,22.09.23,22.09.23,29.09.23,29.09.23,06.10.23,06.10.23,16.10.23,16.10.23,20.10.23,20.10.23,27.10.23,27.10.23,03.11.23,03.11.23,10.11.23,10.11.23,17.11.23,17.11.23,24.11.23,24.11.23,01.12.23,01.12.23,08.12.23,08.12.23,15.12.23,15.12.23,22.12.23,29.12.23,Лаб 1,Лаб 1,Лаб 2,Лаб 2,Лаб 3,Лаб 3,Лаб 4,Лаб 4,Лаб 5,Лаб 5,Лаб 6,Лаб 6,Лаб 7,Лаб 7,Лаб 8,Лаб 8,Лаб 9,Лаб 9,Лаб 10,Лаб 10,
,лек,лаб,лек,лаб,лек,лаб,лек,лаб,лек,лаб,лек,лаб,лек,лаб,лек,лаб,лек,лаб,лек,лаб,лек,лаб,лек,лаб,лек,лаб,лек,лаб,лек,лаб,лек,лаб,лек,лаб,Дата,Балл,Дата,Балл,Дата,Балл,Дата,Балл,Дата,Балл,Дата,Балл,Дата,Балл,Дата,Балл,Дата,Балл,Дата,Балл,
1,,,,,,,н,н,,,,,,,н,н,н,н,,,,,,,,,,,,,,,,,29.09.23,10,13.10.23,5,20.10.23,5,,,,,,,,,,,,,,,20
2,,,н,н,н,н,н,н,н,н,,,н,н,н,н,н,н,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,,,н,н,,,н,н,,,,,,,н,н,н,н,,,,,,,,,,,,,,,,,06.10.23,10,13.10.23,5,27.10.23,3,,,,,,,,,,,,,,,18
4,,,,,,,,,,,,,н,н,н,н,н,н,,,,,,,,,,,,,,,,,29.09.23,10,06.10.23,5,,,,,,,,,,,,,,,,,15
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.09.23,10,06.10.23,5,13.10.23,5,13.10.23,5,20.10.23,5,,,,,,,,,,,30
6,,,,,,,,,,,,,,,,,н,н,,,,,,,,,,,,,,,,,29.09.23,10,06.10.23,5,20.10.23,5,,,,,,,,,,,,,,,20
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.09.23,10,13.10.23,5,20.10.23,5,27.10.23,5,,,,,,,,,,,,,25
8,,,,,,,н,н,,,,,,,,,,н,,,,,,,,,,,,,,,,,29.09.23,10,20.10.23,3,27.10.23,3,,,,,,,,,,,,,,,16
9,,,,,,,,,,,,,,,,,н,,,,,,,,,,,,,,,,,,29.09.23,10,13.10.23,5,20.10.23,5,27.10.23,5,,,,,,,,,,,,,25
10,,,,,,,,,,,,,,,н,н,,,,,,,,,,,,,,,,,,,,,,,27.10.23,3,,,,,,,,,,,,,,,3
11,,,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,,,,,,,,,,,,,,,,,,,,,0
12,,,,,,,,,,,,,,,,,н,н,,,,,,,,,,,,,,,,,29.09.23,10,13.10.23,5,20.10.23,5,,,,,,,,,,,,,,,20
13,,,,,,,,,,,,,,,,,,н,,,,,,,,,,,,,,,,,29.09.23,10,13.10.23,5,20.10.23,5,27.10.23,5,27.10.23,5,,,,,,,,,,,30
14,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,,,,,,,,,,,,,,,,,,,,,0
15,,,,,,,,,,,н,,,,,,н,н,,,,,,,,,,,,,,,,,29.09.23,10,13.10.23,5,,,27.10.23,5,,,,,,,,,,,,,20
16,,,н,н,н,н,н,н,,,н,,н,н,н,н,н,н,,,,,,,,,,,,,,,,,29.09.23,10,,,,,,,,,,,,,,,,,,,10
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.09.23,10,06.10.23,5,13.10.23,5,13.10.23,5,20.10.23,5,,,,,,,,,,,30
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
